"REF_DATE","GEO","DGUID","Labour force characteristics","North American Industry Classification System (NAICS)","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2024-09","Canada","2021A000011124","Employment","Total, all industries","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710133","1.2.1.1.1","20844.0","","","","1"
"2024-10","Canada","2021A000011124","Employment","Total, all industries","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710133","1.2.1.1.1","20861.8","","","","1"
"2024-11","Canada","2021A000011124","Employment","Total, all industries","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710133","1.2.1.1.1","20828.6","","","","1"
"2024-12","Canada","2021A000011124","Employment","Total, all industries","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710133","1.2.1.1.1","20843.6","","","","1"
"2019-01","Canada","2021A000011124","Employment","Goods-producing sector","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710134","1.2.2.1.1","3798.0","","","","1"
"2019-02","Canada","2021A000011124","Employment","Goods-producing sector","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710134","1.2.2.1.1","3802.0","","","","1"
"2019-03","Canada","2021A000011124","Employment","Goods-producing sector","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710134","1.2.2.1.1","3803.1","","","","1"
"2019-04","Canada","2021A000011124","Employment","Goods-producing sector","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710134","1.2.2.1.1","3898.8","","","","1"
"2019-05","Canada","2021A000011124","Employment","Goods-producing sector","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710134","1.2.2.1.1","4052.3","","","","1"
"2019-06","Canada","2021A000011124","Employment","Goods-producing sector","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710134","1.2.2.1.1","4097.9","","","","1"
"2019-07","Canada","2021A000011124","Employment","Goods-producing sector","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710134","1.2.2.1.1","4143.1","","","","1"
"2019-08","Canada","2021A000011124","Employment","Goods-producing sector","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710134","1.2.2.1.1","4166.0","","","","1"
"2019-09","Canada","2021A000011124","Employment","Goods-producing sector","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710134","1.2.2.1.1","4111.4","","","","1"
"2019-10","Canada","2021A000011124","Employment","Goods-producing sector","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710134","1.2.2.1.1","4057.0","","","","1"
"2019-11","Canada","2021A000011124","Employment","Goods-producing sector","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710134","1.2.2.1.1","3998.0","","","","1"
"2019-12","Canada","2021A000011124","Employment","Goods-producing sector","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710134","1.2.2.1.1","3939.1","","","","1"
"2020-01","Canada","2021A000011124","Employment","Goods-producing sector","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710134","1.2.2.1.1","3835.0","","","","1"
"2020-02","Canada","2021A000011124","Employment","Goods-producing sector","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710134","1.2.2.1.1","3860.1","","","","1"
"2020-03","Canada","2021A000011124","Employment","Goods-producing sector","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710134","1.2.2.1.1","3781.2","","","","1"
"2020-04","Canada","2021A000011124","Employment","Goods-producing sector","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710134","1.2.2.1.1","3260.1","","","","1"
"2020-05","Canada","2021A000011124","Employment","Goods-producing sector","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710134","1.2.2.1.1","3579.7","","","","1"
"2020-06","Canada","2021A000011124","Employment","Goods-producing sector","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710134","1.2.2.1.1","3831.6","","","","1"
"2020-07","Canada","2021A000011124","Employment","Goods-producing sector","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710134","1.2.2.1.1","3909.7","","","","1"
"2020-08","Canada","2021A000011124","Employment","Goods-producing sector","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710134","1.2.2.1.1","3960.5","","","","1"
"2020-09","Canada","2021A000011124","Employment","Goods-producing sector","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710134","1.2.2.1.1","3970.2","","","","1"
"2020-10","Canada","2021A000011124","Employment","Goods-producing sector","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710134","1.2.2.1.1","3961.2","","","","1"
"2020-11","Canada","2021A000011124","Employment","Goods-producing sector","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710134","1.2.2.1.1","3939.7","","","","1"
"2020-12","Canada","2021A000011124","Employment","Goods-producing sector","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710134","1.2.2.1.1","3895.5","","","","1"
"2021-01","Canada","2021A000011124","Employment","Goods-producing sector","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710134","1.2.2.1.1","3780.1","","","","1"
"2021-02","Canada","2021A000011124","Employment","Goods-producing sector","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710134","1.2.2.1.1","3800.1","","","","1"
"2021-03","Canada","2021A000011124","Employment","Goods-producing sector","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710134","1.2.2.1.1","3832.0","","","","1"
"2021-04","Canada","2021A000011124","Employment","Goods-producing sector","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710134","1.2.2.1.1","3888.5","","","","1"
"2021-05","Canada","2021A000011124","Employment","Goods-producing sector","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710134","1.2.2.1.1","3987.3","","","","1"
"2021-06","Canada","2021A000011124","Employment","Goods-producing sector","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710134","1.2.2.1.1","4032.3","","","","1"
"2021-07","Canada","2021A000011124","Employment","Goods-producing sector","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710134","1.2.2.1.1","4078.9","","","","1"
"2021-08","Canada","2021A000011124","Employment","Goods-producing sector","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710134","1.2.2.1.1","4058.8","","","","1"
"2021-09","Canada","2021A000011124","Employment","Goods-producing sector","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710134","1.2.2.1.1","4016.1","","","","1"
"2021-10","Canada","2021A000011124","Employment","Goods-producing sector","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710134","1.2.2.1.1","3988.9","","","","1"
"2021-11","Canada","2021A000011124","Employment","Goods-producing sector","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710134","1.2.2.1.1","3970.1","","","","1"
"2021-12","Canada","2021A000011124","Employment","Goods-producing sector","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710134","1.2.2.1.1","3924.6","","","","1"
"2022-01","Canada","2021A000011124","Employment","Goods-producing sector","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710134","1.2.2.1.1","3838.0","","","","1"
"2022-02","Canada","2021A000011124","Employment","Goods-producing sector","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710134","1.2.2.1.1","3912.8","","","","1"
"2022-03","Canada","2021A000011124","Employment","Goods-producing sector","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710134","1.2.2.1.1","3940.1","","","","1"
"2022-04","Canada","2021A000011124","Employment","Goods-producing sector","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710134","1.2.2.1.1","4000.5","","","","1"
"2022-05","Canada","2021A000011124","Employment","Goods-producing sector","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710134","1.2.2.1.1","4144.2","","","","1"
"2022-06","Canada","2021A000011124","Employment","Goods-producing sector","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710134","1.2.2.1.1","4203.9","","","","1"
"2022-07","Canada","2021A000011124","Employment","Goods-producing sector","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710134","1.2.2.1.1","4269.4","","","","1"
"2022-08","Canada","2021A000011124","Employment","Goods-producing sector","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710134","1.2.2.1.1","4253.3","","","","1"
"2022-09","Canada","2021A000011124","Employment","Goods-producing sector","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710134","1.2.2.1.1","4152.1","","","","1"
"2022-10","Canada","2021A000011124","Employment","Goods-producing sector","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710134","1.2.2.1.1","4170.2","","","","1"
"2022-11","Canada","2021A000011124","Employment","Goods-producing sector","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710134","1.2.2.1.1","4121.5","","","","1"
"2022-12","Canada","2021A000011124","Employment","Goods-producing sector","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710134","1.2.2.1.1","4088.5","","","","1"
"2023-01","Canada","2021A000011124","Employment","Goods-producing sector","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710134","1.2.2.1.1","4009.9","","","","1"
"2023-02","Canada","2021A000011124","Employment","Goods-producing sector","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710134","1.2.2.1.1","4056.0","","","","1"
"2023-03","Canada","2021A000011124","Employment","Goods-producing sector","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710134","1.2.2.1.1","4047.7","","","","1"
"2023-04","Canada","2021A000011124","Employment","Goods-producing sector","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710134","1.2.2.1.1","4094.3","","","","1"
"2023-05","Canada","2021A000011124","Employment","Goods-producing sector","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710134","1.2.2.1.1","4283.7","","","","1"
"2023-06","Canada","2021A000011124","Employment","Goods-producing sector","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710134","1.2.2.1.1","4330.5","","","","1"
"2023-07","Canada","2021A000011124","Employment","Goods-producing sector","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710134","1.2.2.1.1","4356.6","","","","1"
"2023-08","Canada","2021A000011124","Employment","Goods-producing sector","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710134","1.2.2.1.1","4331.5","","","","1"
"2023-09","Canada","2021A000011124","Employment","Goods-producing sector","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710134","1.2.2.1.1","4229.0","","","","1"
"2023-10","Canada","2021A000011124","Employment","Goods-producing sector","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710134","1.2.2.1.1","4220.5","","","","1"
"2023-11","Canada","2021A000011124","Employment","Goods-producing sector","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710134","1.2.2.1.1","4219.2","","","","1"
"2023-12","Canada","2021A000011124","Employment","Goods-producing sector","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710134","1.2.2.1.1","4134.6","","","","1"
"2024-01","Canada","2021A000011124","Employment","Goods-producing sector","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710134","1.2.2.1.1","4007.3","","","","1"
"2024-02","Canada","2021A000011124","Employment","Goods-producing sector","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710134","1.2.2.1.1","4045.3","","","","1"
"2024-03","Canada","2021A000011124","Employment","Goods-producing sector","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710134","1.2.2.1.1","4094.6","","","","1"
"2024-04","Canada","2021A000011124","Employment","Goods-producing sector","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710134","1.2.2.1.1","4133.7","","","","1"
